time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/clip_fraction,train/entropy_loss,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/clip_range,train/value_loss,train/explained_variance,train/loss,train/policy_gradient_loss
2845,75,-396.99446000000006,153600,24.0,53,0.131201171875,-15.303099864721299,0.9755191802978516,0.0003,0.02160395,740,0.2,7793.8122283935545,0.4453854560852051,3488.978515625,0.003177492400573101
2883,76,-399.16094,155648,24.0,53,0.066455078125,-15.28865858912468,0.9743349552154541,0.0003,0.00725443,750,0.2,7430.829820251465,0.4423410892486572,4604.8193359375,-0.0056432876364851834
2921,77,-387.45413,157696,24.0,53,0.157275390625,-15.277710795402527,0.9732177257537842,0.0003,0.020048026,760,0.2,7336.800231933594,0.4657300114631653,3331.347412109375,-0.0048011438091634774
2959,78,-391.97341000000006,159744,24.0,53,0.094921875,-15.259524512290955,0.9715931415557861,0.0003,0.011368886,770,0.2,6947.603985595703,0.4710254669189453,3915.923828125,-0.0022688469878630714
2997,79,-387.9875,161792,24.0,53,0.11708984375,-15.246153640747071,0.9711918234825134,0.0003,0.015218148,780,0.2,7020.704573059082,0.47647422552108765,3257.406494140625,-0.001663857389939949
3036,80,-387.52375,163840,24.0,53,0.10439453125,-15.240417698025704,0.9709575176239014,0.0003,0.0076027615,790,0.2,6178.541065216064,0.5212334394454956,3113.5380859375,-0.003548000818409491
3074,81,-385.2709,165888,24.0,53,0.0880859375,-15.245873430371285,0.9718353748321533,0.0003,0.010182461,800,0.2,6281.308664703369,0.5190223753452301,3603.923583984375,-0.0024704615003429352
3112,82,-375.11526,167936,24.0,53,0.104248046875,-15.240021640062333,0.9698200821876526,0.0003,0.007727112,810,0.2,6132.220800018311,0.5316309630870819,3733.01318359375,-0.0030740149442863183
3150,83,-374.32678,169984,24.0,53,0.098876953125,-15.217489412426948,0.9676961898803711,0.0003,0.023111371,820,0.2,5844.21424407959,0.5362310707569122,2273.92578125,-0.0024736021397984585
3188,84,-369.18861000000004,172032,24.0,53,0.083349609375,-15.194584339857101,0.9662240743637085,0.0003,0.006441078,830,0.2,5684.9743377685545,0.5436077415943146,2493.829833984375,-0.005068436091823969
3226,85,-362.23904000000005,174080,24.0,53,0.09267578125,-15.186927461624146,0.9665157198905945,0.0003,0.007785007,840,0.2,5127.181119537354,0.5856867134571075,2915.267822265625,-0.00560611705732299
3265,86,-356.49943,176128,24.0,53,0.11220703125,-15.174589303135871,0.9642732739448547,0.0003,0.01467345,850,0.2,4828.769953918457,0.5966858863830566,1260.189453125,-0.0019374437339138239
3302,87,-346.90914,178176,24.0,53,0.114013671875,-15.161545863747596,0.9644569158554077,0.0003,0.026565071,860,0.2,4686.536874389649,0.6045358777046204,2109.0361328125,-0.004140886334062089
3341,88,-342.3506300000001,180224,24.0,53,0.076171875,-15.165781190991401,0.9649288654327393,0.0003,0.0054253256,870,0.2,4484.043497467041,0.6071827411651611,2033.3798828125,-0.002541873268637573
3379,89,-330.56559,182272,24.0,53,0.138623046875,-15.166017031669616,0.9640498757362366,0.0003,0.012628375,880,0.2,4324.754227828979,0.6216675639152527,2591.80810546875,-0.00035206432512495666
3418,90,-326.857,184320,24.0,53,0.098486328125,-15.151873713731765,0.9626964330673218,0.0003,0.010231544,890,0.2,3923.793133544922,0.633226752281189,1999.620849609375,-0.004631297757077846
3456,91,-315.7153,186368,24.0,53,0.1228515625,-15.137037634849548,0.9615806937217712,0.0003,0.014075762,900,0.2,3554.3790016174316,0.667760580778122,1886.5989990234375,-0.007489402175997384
3495,92,-307.24136000000004,188416,24.0,53,0.12451171875,-15.12307324707508,0.9596494436264038,0.0003,0.0097989915,910,0.2,3393.5400970458986,0.6792365610599518,1288.9947509765625,-0.00861535403819289
3534,93,-297.79774,190464,24.0,53,0.113330078125,-15.107271391153336,0.9591040015220642,0.0003,0.015377233,920,0.2,2974.8443359375,0.6826747357845306,1690.2537841796875,-0.0027370681578759103
3573,94,-300.00065,192512,24.0,53,0.085986328125,-15.102443379163741,0.9584697484970093,0.0003,0.009399194,930,0.2,2764.122750854492,0.7182693481445312,1054.951904296875,-0.002271891316922847
3611,95,-294.05490000000003,194560,24.0,53,0.11630859375,-15.092974719405174,0.9579534530639648,0.0003,0.00989407,940,0.2,2751.4014163970946,0.7172175049781799,1664.85009765625,-0.00884743792412337
3650,96,-281.67148,196608,24.0,53,0.127197265625,-15.088398706912994,0.9577799439430237,0.0003,0.012759741,950,0.2,2576.1925827026366,0.7248659431934357,1007.9047241210938,-0.006322647449997021
3688,97,-268.50625,198656,24.0,53,0.1595703125,-15.084179085493087,0.9572805166244507,0.0003,0.011778977,960,0.2,2423.313800048828,0.7282189130783081,1280.4010009765625,-0.012042856893094723
3725,98,-260.88361,200704,24.0,53,0.14501953125,-15.07735171020031,0.9565839767456055,0.0003,0.010139991,970,0.2,2356.629654312134,0.7292326092720032,1019.7487182617188,-0.00705299944820581
3763,99,-254.19465000000002,202752,24.0,53,0.174853515625,-15.078960621356964,0.9578153491020203,0.0003,0.014961259,980,0.2,2225.9965629577637,0.7350994348526001,1014.6015014648438,-0.010126274984213524
3802,100,-245.05089999999996,204800,24.0,53,0.12919921875,-15.092721965909004,0.9586580395698547,0.0003,0.01245697,990,0.2,2190.3513370513915,0.7273470461368561,1307.560546875,-0.00831032535788836
3840,101,-235.37550999999996,206848,24.0,53,0.1314453125,-15.100414273142814,0.959037184715271,0.0003,0.015464907,1000,0.2,2040.8881423950195,0.7302977740764618,1153.4288330078125,-0.00811227177764522
3879,102,-224.69961000000004,208896,24.0,53,0.1421875,-15.086824482679367,0.9572044014930725,0.0003,0.015593859,1010,0.2,1949.6967489242554,0.7152360379695892,827.5654907226562,-0.005920229425828438
3917,103,-218.77133999999998,210944,24.0,53,0.130078125,-15.053589236736297,0.9534836411476135,0.0003,0.017537784,1020,0.2,1909.2497201919555,0.7268252074718475,774.5553588867188,-0.003613730598590337
