train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/value_loss,train/policy_loss,time/iterations,rollout/ep_rew_mean,train/std,time/fps
19299,0.0007,0,-18.24286842,24,1818,96500,861.1925049,-465.3294067,19300,-189.67832,1.27493751,53
19399,0.0007,-1.19E-07,-18.30653191,24,1828,97000,11.05114746,-30.87264633,19400,-195.11953,1.281435609,53
19499,0.0007,0.995883396,-18.29851913,24,1837,97500,121.6362534,201.8377991,19500,-203.78267,1.281152725,53
19599,0.0007,0.605751723,-18.29107285,24,1847,98000,19847.7207,1847.232056,19600,-201.61934,1.2802881,53
19699,0.0007,0.596310556,-18.28237152,24,1856,98500,994.6158447,-536.5925293,19700,-194.20383,1.279169321,53
19799,0.0007,0.471925318,-18.27938461,24,1866,99000,2095.030029,-817.2155762,19800,-186.71393,1.278802872,53
19899,0.0007,0.470648408,-18.26792717,24,1875,99500,193.2421265,-63.81391525,19900,-197.11026,1.277553201,53
19999,0.0007,-1.90813899,-18.26569939,24,1885,100000,497.6831055,259.3939514,20000,-201.88965,1.277309179,53
20099,0.0007,0.56543237,-18.23794746,24,1894,100500,884.6712036,447.4187927,20100,-210.57305,1.273670673,53
20199,0.0007,0.586045146,-18.23242188,24,1904,101000,5639.918945,192.1206818,20200,-222.89439,1.273126245,53
20299,0.0007,0.691643804,-18.19777107,24,1913,101500,654.0925903,-393.1360474,20300,-229.57529,1.26839745,53
20399,0.0007,0.301293015,-18.17541504,24,1922,102000,1476.946533,-611.0892944,20400,-212.68264,1.266583323,53
20499,0.0007,0.000306845,-18.20297241,24,1932,102500,291.7802124,237.7802429,20500,-189.82894,1.269504666,53
20599,0.0007,-92.74480438,-18.20494652,24,1942,103000,237.1072235,111.8000031,20600,-167.28317,1.269866824,53
20699,0.0007,0.880583413,-18.2374649,24,1951,103500,554.4103394,-434.4300232,20700,-138.17419,1.273278475,53
20799,0.0007,-1.71818161,-18.26877594,24,1961,104000,2504.993408,260.0585938,20800,-93.29006,1.277109623,53
20899,0.0007,0.234911144,-18.26847839,24,1970,104500,687.4699707,-438.5440063,20900,-53.82621,1.277863026,53
20999,0.0007,0.316289008,-18.28947258,24,1979,105000,20.15241814,-31.40606689,21000,-8.87382,1.279715657,53
21099,0.0007,1.19E-07,-18.26236343,24,1989,105500,17.02457619,-70.74719238,21100,25.25535,1.276216626,53
21199,0.0007,0.67737639,-18.25912285,24,1999,106000,105.4833603,-145.0977478,21200,53.01664,1.275516748,53
21299,0.0007,0.834100708,-18.24681664,24,2008,106500,355.8344727,290.1004028,21300,69.64816,1.274521589,53
21399,0.0007,0.457940936,-18.23215675,24,2017,107000,547.8067017,257.1722717,21400,75.31784,1.274400711,53
21499,0.0007,0.001912951,-18.20890999,24,2027,107500,135.0860138,-73.949646,21500,67.38525,1.270429254,53
