train/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/delta_std,train/step_size,train/learning_rate,time/fps,rollout/return_std
339,130560,617.34375,24,2356,0.05,3.73E-05,0.02,55,67.01663208
340,130944,514.655625,24,2363,0.05,7.65E-06,0.02,55,326.6990662
341,131328,635.62,24,2370,0.05,0.000664912,0.02,55,3.759896278
342,131712,631.67175,24,2377,0.05,0.000409631,0.02,55,6.103049278
343,132096,637.117875,24,2383,0.05,0.001441408,0.02,55,1.734414697
344,132480,635.591875,24,2390,0.05,0.000661236,0.02,55,3.780801058
345,132864,632.732125,24,2397,0.05,0.000380803,0.02,55,6.565065861
346,133248,596.3365625,24,2404,0.05,1.60E-05,0.02,55,155.7757111
347,133632,634.208375,24,2411,0.05,0.000355813,0.02,55,7.026168823
348,134016,626.534375,24,2418,0.05,7.21E-05,0.02,55,34.67607498
349,134400,634.76125,24,2425,0.05,0.000600159,0.02,55,4.165563107
350,134784,606.5475,24,2432,0.05,2.21E-05,0.02,55,113.063385
351,135168,594.510625,24,2439,0.05,1.53E-05,0.02,55,163.5135651
352,135552,627.6425,24,2446,0.05,7.20E-05,0.02,55,34.70926666
353,135936,634.21,24,2453,0.05,0.000332866,0.02,55,7.510534763
354,136320,633.770625,24,2460,0.05,0.000336502,0.02,55,7.429384232
355,136704,635.3666875,24,2467,0.05,0.000411165,0.02,55,6.080282688
356,137088,635.2353125,24,2474,0.05,0.000493647,0.02,55,5.064350605
357,137472,635.8246875,24,2481,0.05,0.000408658,0.02,55,6.117585659
358,137856,569.7078125,24,2488,0.05,1.13E-05,0.02,55,221.938736
359,138240,608.0525,24,2495,0.05,2.50E-05,0.02,55,99.87643433
360,138624,635.368125,24,2502,0.05,0.000491374,0.02,55,5.087777615
