time/total_timesteps,train/learning_rate,train/entropy_loss,time/time_elapsed,train/policy_loss,train/value_loss,train/n_updates,train/explained_variance,train/std,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations
65500,0.0007,-18.05124282836914,829,-1286.711669921875,6279.673828125,13099,0.3052220940589905,1.2524256706237793,78,-224.23178999999996,24.0,13100
66000,0.0007,-18.050783157348633,836,116.87089538574219,1106.7789306640625,13199,0.04330003261566162,1.2518738508224487,78,-234.28620000000006,24.0,13200
66500,0.0007,-18.064041137695312,842,-894.0369262695312,2377.3291015625,13299,-4.76837158203125e-07,1.2527283430099487,78,-245.78989,24.0,13300
67000,0.0007,-18.039772033691406,848,-636.7398071289062,1160.141357421875,13399,-2.384185791015625e-07,1.249963641166687,78,-259.04091999999997,24.0,13400
67500,0.0007,-18.051610946655273,854,106.49650573730469,86.39152526855469,13499,0.9433862306177616,1.2516570091247559,78,-264.67926000000006,24.0,13500
68000,0.0007,-18.072460174560547,861,2230.22509765625,38983.0546875,13599,0.05264931917190552,1.2539838552474976,78,-261.10927,24.0,13600
68500,0.0007,-18.065387725830078,867,-934.6150512695312,3181.041748046875,13699,0.6888240873813629,1.2534312009811401,78,-251.49190999999996,24.0,13700
69000,0.0007,-18.09370994567871,873,-1161.22509765625,5017.1005859375,13799,6.9141387939453125e-06,1.2567554712295532,79,-254.90495999999996,24.0,13800
69500,0.0007,-18.1567325592041,879,-1048.732177734375,4229.984375,13899,9.5367431640625e-07,1.2642220258712769,78,-266.5548,24.0,13900
70000,0.0007,-18.213340759277344,886,-513.3983154296875,818.13916015625,13999,0.0,1.2698447704315186,78,-292.07197,24.0,14000
70500,0.0007,-18.22757339477539,892,183.9775390625,149.44918823242188,14099,0.923584409058094,1.2717379331588745,78,-307.75251000000003,24.0,14100
71000,0.0007,-18.202468872070312,898,2665.37744140625,42229.90625,14199,0.04413187503814697,1.2689263820648193,79,-311.16290000000004,24.0,14200
71500,0.0007,-18.20758819580078,905,-622.3431396484375,1449.624267578125,14299,0.7748427391052246,1.2691622972488403,78,-310.77079,24.0,14300
72000,0.0007,-18.236316680908203,911,-557.7463989257812,1178.9273681640625,14399,0.8097690641880035,1.2725929021835327,78,-306.55301999999995,24.0,14400
72500,0.0007,-18.29021453857422,917,-795.9093017578125,2415.629638671875,14499,0.0,1.2789231538772583,78,-299.82381,24.0,14500
73000,0.0007,-18.309541702270508,923,-535.8773193359375,1061.210693359375,14599,7.778406143188477e-05,1.281099796295166,79,-283.04806,24.0,14600
73500,0.0007,-18.30281639099121,930,50.371124267578125,27.58627700805664,14699,0.9637067094445229,1.2802199125289917,79,-284.30739,24.0,14700
74000,0.0007,-18.308523178100586,936,2412.3505859375,42744.109375,14799,0.0805044174194336,1.2808279991149902,79,-291.93429,24.0,14800
74500,0.0007,-18.323923110961914,942,-938.1218872070312,3546.653076171875,14899,0.2568991184234619,1.2830824851989746,79,-287.14437000000004,24.0,14900
75000,0.0007,-18.37588119506836,948,-459.2528381347656,877.7131958007812,14999,0.7352223694324493,1.2889494895935059,79,-281.05073999999996,24.0,15000
75500,0.0007,-18.39258575439453,954,-660.3538818359375,1716.937255859375,15099,3.814697265625e-06,1.2914907932281494,79,-291.13250999999997,24.0,15100
76000,0.0007,-18.422014236450195,961,-493.7818908691406,795.6277465820312,15199,0.0,1.2942345142364502,79,-290.22482999999994,24.0,15200
76500,0.0007,-18.43899154663086,967,375.3349914550781,460.9187927246094,15299,0.8655907809734344,1.2967627048492432,79,-281.71689,24.0,15300
77000,0.0007,-18.43284797668457,974,2551.9765625,46209.0,15399,0.0325474739074707,1.2962865829467773,79,-278.12301,24.0,15400
77500,0.0007,-18.464183807373047,981,-1032.6400146484375,3187.07666015625,15499,0.5798742771148682,1.3001642227172852,78,-268.61355,24.0,15500
78000,0.0007,-18.482114791870117,987,-117.73442077636719,298.35504150390625,15599,0.039897024631500244,1.3023816347122192,78,-245.17976,24.0,15600
78500,0.0007,-18.478891372680664,994,-343.5556640625,455.9544982910156,15699,0.5434172749519348,1.3019180297851562,78,-218.87498,24.0,15700
79000,0.0007,-18.467498779296875,1000,-379.9288635253906,584.3013305664062,15799,3.2067298889160156e-05,1.3014652729034424,78,-198.11527999999996,24.0,15800
79500,0.0007,-18.470041275024414,1006,53.482322692871094,67.9244613647461,15899,0.9065066576004028,1.3007402420043945,78,-188.76194999999998,24.0,15900
80000,0.0007,-18.464632034301758,1012,2249.7041015625,50719.55859375,15999,-0.002593994140625,1.2994811534881592,79,-180.33476000000002,24.0,16000
80500,0.0007,-18.439250946044922,1018,-623.504638671875,1504.652587890625,16099,0.30913805961608887,1.2976727485656738,79,-172.22572999999997,24.0,16100
81000,0.0007,-18.435789108276367,1024,-520.1175537109375,930.8029174804688,16199,2.0265579223632812e-06,1.2972162961959839,79,-161.35153,24.0,16200
81500,0.0007,-18.435150146484375,1031,-206.1814727783203,145.8658447265625,16299,0.35577189922332764,1.2972556352615356,79,-145.56807,24.0,16300
82000,0.0007,-18.438772201538086,1037,561.8082275390625,885.7376708984375,16399,0.4052024483680725,1.29800283908844,79,-128.48185,24.0,16400
82500,0.0007,-18.433534622192383,1043,33.39563751220703,108.35835266113281,16499,0.856967106461525,1.2974200248718262,79,-123.00407,24.0,16500
83000,0.0007,-18.3968563079834,1049,3389.835205078125,67490.859375,16599,-0.5006688833236694,1.2927603721618652,79,-120.04687,24.0,16600
83500,0.0007,-18.375415802001953,1055,-588.131591796875,1342.675048828125,16699,0.7655156850814819,1.2906635999679565,79,-119.25647,24.0,16700
84000,0.0007,-18.371706008911133,1061,-78.98567199707031,365.93817138671875,16799,-3.634305477142334,1.2901338338851929,79,-114.39344,24.0,16800
84500,0.0007,-18.375682830810547,1067,-478.1988220214844,675.0338134765625,16899,0.44369882345199585,1.2902626991271973,79,-114.8856,24.0,16900
85000,0.0007,-18.365795135498047,1074,1295.2381591796875,6329.7373046875,16999,-15.563909530639648,1.288711667060852,79,-111.5043,24.0,17000
85500,0.0007,-18.364221572875977,1080,182.23150634765625,210.460205078125,17099,0.8621020168066025,1.2883487939834595,79,-107.20806999999999,24.0,17100
86000,0.0007,-18.35350799560547,1087,2844.904541015625,44973.71875,17199,-1.2760839462280273,1.2867351770401,79,-99.03513000000001,24.0,17200
86500,0.0007,-18.329063415527344,1093,-589.9598388671875,1031.6055908203125,17299,0.2256067395210266,1.2838164567947388,79,-87.49070999999998,24.0,17300
87000,0.0007,-18.306495666503906,1099,-207.67562866210938,160.02749633789062,17399,7.790327072143555e-05,1.2812634706497192,79,-63.25433000000001,24.0,17400
87500,0.0007,-18.286231994628906,1106,62.22014236450195,18.523218154907227,17499,2.3245811462402344e-06,1.2789864540100098,79,-53.296630000000015,24.0,17500
88000,0.0007,-18.26260757446289,1112,-65.6156005859375,128.81951904296875,17599,-3.5428719520568848,1.276354193687439,79,-46.61376000000001,24.0,17600
88500,0.0007,-18.287572860717773,1118,376.6707458496094,662.2278442382812,17699,0.5600918531417847,1.2793179750442505,79,-42.17338000000001,24.0,17700
89000,0.0007,-18.254886627197266,1124,2116.876953125,38110.390625,17799,-1.2260971069335938,1.275362491607666,79,-33.463409999999996,24.0,17800
89500,0.0007,-18.255216598510742,1131,-693.4010009765625,1897.451904296875,17899,0.3120582699775696,1.2756378650665283,79,-23.206310000000002,24.0,17900
90000,0.0007,-18.251211166381836,1137,-245.3892822265625,177.7037811279297,17999,1.1920928955078125e-07,1.275224208831787,79,-3.5313900000000014,24.0,18000
90500,0.0007,-18.25201416015625,1143,-84.53377532958984,118.638671875,18099,0.14895540475845337,1.2756028175354004,79,17.84713,24.0,18100
91000,0.0007,-18.260068893432617,1150,-2.117262363433838,262.06500244140625,18199,0.573140025138855,1.2760883569717407,79,36.73046000000001,24.0,18200
91500,0.0007,-18.24493980407715,1156,381.2423400878906,484.4639587402344,18299,0.6585677862167358,1.2753698825836182,79,48.55241,24.0,18300
92000,0.0007,-18.23626136779785,1162,1464.623046875,11365.201171875,18399,-0.2469249963760376,1.2740514278411865,79,58.7281,24.0,18400
92500,0.0007,-18.19341278076172,1169,-830.95068359375,2517.83642578125,18499,0.3844655156135559,1.268890142440796,79,64.50492000000001,24.0,18500
93000,0.0007,-18.18684959411621,1175,-462.03253173828125,803.9557495117188,18599,4.26173210144043e-05,1.2680360078811646,79,67.99363,24.0,18600
93500,0.0007,-18.18164825439453,1181,213.99819946289062,243.93032836914062,18699,0.39400243759155273,1.2675107717514038,79,71.12898000000001,24.0,18700
