train/step_size,train/iterations,rollout/ep_rew_mean,time/fps,rollout/return_std,time/total_timesteps,time/time_elapsed,train/delta_std,rollout/ep_len_mean,train/learning_rate
0.0002446231374051422,196,624.3178125,52,10.219801902770996,75648,1440,0.05,24.0,0.02
0.0003260843805037439,197,628.5576249999999,52,7.666727066040039,76032,1447,0.05,24.0,0.02
0.0004627927264664322,198,628.0390625,52,5.401986122131348,76416,1454,0.05,24.0,0.02
0.0003442228480707854,199,629.495625,52,7.262736797332764,76800,1462,0.05,24.0,0.02
1.2952003089594655e-05,200,576.920875,52,193.0203399658203,77184,1469,0.05,24.0,0.02
0.0002411675377516076,201,627.036625,52,10.36623764038086,77568,1476,0.05,24.0,0.02
0.00021023291628807783,202,622.1864999999999,52,11.891571998596191,77952,1484,0.05,24.0,0.02
0.0002570266369730234,203,625.8040625,52,9.726617813110352,78336,1491,0.05,24.0,0.02
3.087234290433116e-05,204,609.0096874999999,52,80.97863006591797,78720,1498,0.05,24.0,0.02
1.8739701772574335e-05,205,596.1850625,52,133.40660095214844,79104,1506,0.05,24.0,0.02
0.00042984820902347565,206,627.0699374999999,52,5.816006660461426,79488,1513,0.05,24.0,0.02
0.0001790870155673474,207,617.7518124999999,52,13.959694862365723,79872,1520,0.05,24.0,0.02
0.000635740754660219,208,629.17925,52,3.932420253753662,80256,1528,0.05,24.0,0.02
0.00046852350351400673,209,630.1796875,52,5.335911750793457,80640,1535,0.05,24.0,0.02
0.00040253272163681686,210,629.9706874999999,52,6.21067476272583,81024,1542,0.05,24.0,0.02
0.0002534033264964819,211,629.3530625000001,52,9.865694999694824,81408,1549,0.05,24.0,0.02
0.00036126404302194715,212,629.4424375,52,6.9201459884643555,81792,1557,0.05,24.0,0.02
7.982089300639927e-07,213,-260.0597500000001,52,3132.011962890625,82176,1564,0.05,24.0,0.02
0.00014715312863700092,214,625.3813749999999,52,16.989105224609375,82560,1571,0.05,24.0,0.02
0.00033369107404723763,215,629.408875,52,7.491959095001221,82944,1578,0.05,24.0,0.02
0.0005692861741408706,216,629.8535,52,4.3914642333984375,83328,1586,0.05,24.0,0.02
0.00036129041109234095,217,631.7775,52,6.91964054107666,83712,1593,0.05,24.0,0.02
0.0003500187594909221,218,631.5223125,52,7.142474174499512,84096,1600,0.05,24.0,0.02
4.476445974432863e-05,219,619.021625,52,55.84787368774414,84480,1607,0.05,24.0,0.02
0.00041131439502350986,220,631.89125,52,6.078075408935547,84864,1615,0.05,24.0,0.02
3.749995448742993e-05,221,614.5260000000001,52,66.666748046875,85248,1622,0.05,24.0,0.02
0.0003748455492313951,222,631.9415625,52,6.6694135665893555,85632,1630,0.05,24.0,0.02
0.0005344763048924506,223,632.8396875,52,4.677475452423096,86016,1637,0.05,24.0,0.02
5.786483256997599e-07,224,-499.5151875,52,4320.4130859375,86400,1644,0.05,24.0,0.02
2.2632908439845778e-05,225,603.518,52,110.45862579345703,86784,1652,0.05,24.0,0.02
6.200538791745203e-06,226,530.885125,52,403.19073486328125,87168,1659,0.05,24.0,0.02
0.00028148407000117004,227,629.9536875,52,8.88149642944336,87552,1667,0.05,24.0,0.02
1.8614455257193185e-05,228,598.9881250000001,52,134.30422973632812,87936,1674,0.05,24.0,0.02
1.7355096133542247e-05,229,594.8283125,52,144.04991149902344,88320,1681,0.05,24.0,0.02
0.000402373552788049,230,629.4824375000001,52,6.213131904602051,88704,1689,0.05,24.0,0.02
1.0930858479696326e-05,231,574.6049375,52,228.71029663085938,89088,1696,0.05,24.0,0.02
0.00041019884520210326,232,631.3269375,52,6.094604969024658,89472,1704,0.05,24.0,0.02
0.0001859324547694996,233,626.585625,52,13.4457426071167,89856,1711,0.05,24.0,0.02
0.0009083213517442346,234,632.558,52,2.7523295879364014,90240,1719,0.05,24.0,0.02
0.00024592934641987085,235,628.609125,52,10.165520668029785,90624,1726,0.05,24.0,0.02
9.340973520011175e-06,236,537.9493749999999,52,267.6380615234375,91008,1734,0.05,24.0,0.02
