train/step_size,rollout/return_std,time/time_elapsed,train/delta_std,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/iterations
0.0004618797975126654,5.412663459777832,1250,0.05,67968,54,24.0,0.02,605.0919375000001,176
0.0002577600535005331,9.698942184448242,1258,0.05,68352,54,24.0,0.02,602.657625,177
0.0002258003514725715,11.071727752685547,1265,0.05,68736,54,24.0,0.02,604.39325,178
0.0005958856781944633,4.195435523986816,1272,0.05,69120,54,24.0,0.02,608.6344375000001,179
6.407209730241448e-05,39.0185432434082,1279,0.05,69504,54,24.0,0.02,595.81625,180
0.0009206696995534003,2.71541428565979,1286,0.05,69888,54,24.0,0.02,609.3566875,181
5.4625303391731e-07,4576.6337890625,1294,0.05,70272,54,24.0,0.02,-535.992125,182
0.00019439286552369595,12.860553741455078,1301,0.05,70656,54,24.0,0.02,607.6358749999999,183
0.000236568070249632,10.567782402038574,1308,0.05,71040,54,24.0,0.02,605.1334999999999,184
0.0004225383745506406,5.916622638702393,1316,0.05,71424,54,24.0,0.02,608.01125,185
0.0001430902921129018,17.471485137939453,1323,0.05,71808,54,24.0,0.02,602.6434999999999,186
0.0009077872964553535,2.753948926925659,1331,0.05,72192,54,24.0,0.02,609.7663749999999,187
0.00028212834149599075,8.861214637756348,1338,0.05,72576,54,24.0,0.02,606.6299375,188
0.00016266499005723745,15.369011878967285,1345,0.05,72960,54,24.0,0.02,605.8645624999999,189
0.000493306084536016,5.067847728729248,1352,0.05,73344,54,24.0,0.02,608.846625,190
1.326040546700824e-05,188.53118896484375,1359,0.05,73728,54,24.0,0.02,561.31175,191
0.0001701094734016806,14.696417808532715,1366,0.05,74112,54,24.0,0.02,605.04925,192
0.00021916156401857734,11.407109260559082,1374,0.05,74496,54,24.0,0.02,607.5576874999999,193
0.0007586756255477667,3.295215606689453,1381,0.05,74880,54,24.0,0.02,608.8913124999999,194
0.000583804096095264,4.2822585105896,1388,0.05,75264,54,24.0,0.02,606.4515624999999,195
0.0005792326992377639,4.316054821014404,1395,0.05,75648,54,24.0,0.02,608.1509375,196
7.343119796132669e-05,34.045475006103516,1402,0.05,76032,54,24.0,0.02,595.791875,197
0.00036120894947089255,6.921201705932617,1409,0.05,76416,54,24.0,0.02,605.885125,198
0.0002503274008631706,9.986920356750488,1417,0.05,76800,54,24.0,0.02,605.1885,199
5.472584234667011e-06,456.82257080078125,1424,0.05,77184,54,24.0,0.02,496.27093749999995,200
0.0012106717331334949,2.064969062805176,1431,0.05,77568,54,24.0,0.02,610.3384374999999,201
0.0003631098079495132,6.884969234466553,1438,0.05,77952,54,24.0,0.02,608.4695,202
8.95133416634053e-06,279.2879638671875,1445,0.05,78336,54,24.0,0.02,502.84743750000007,203
0.00017583020962774754,14.218260765075684,1452,0.05,78720,54,24.0,0.02,604.905875,204
0.0002781766525004059,8.98709487915039,1460,0.05,79104,54,24.0,0.02,606.5369375,205
2.0483310436247848e-05,122.05058288574219,1467,0.05,79488,54,24.0,0.02,576.5235,206
0.000173599662957713,14.400949478149414,1474,0.05,79872,54,24.0,0.02,601.1704375,207
0.0009095788700506091,2.7485244274139404,1481,0.05,80256,54,24.0,0.02,609.6025625,208
0.0001639399997657165,15.249481201171875,1488,0.05,80640,54,24.0,0.02,602.673125,209
0.00040672204340808094,6.146703720092773,1495,0.05,81024,54,24.0,0.02,606.2641874999999,210
1.5693402019678615e-05,159.3026123046875,1502,0.05,81408,54,24.0,0.02,567.9341875,211
0.0002927337773144245,8.540182113647461,1510,0.05,81792,54,24.0,0.02,605.9473125,212
0.00038167295861057937,6.55010986328125,1517,0.05,82176,54,24.0,0.02,607.8895625,213
0.00027269968995824456,9.167593955993652,1524,0.05,82560,54,24.0,0.02,607.498125,214
0.0005113970255479217,4.8885698318481445,1531,0.05,82944,54,24.0,0.02,609.61,215
0.0004759359289892018,5.2528076171875,1538,0.05,83328,54,24.0,0.02,609.5997500000001,216
0.0005558356642723083,4.497732162475586,1545,0.05,83712,54,24.0,0.02,610.13025,217
1.7167330952361226e-05,145.62542724609375,1552,0.05,84096,54,24.0,0.02,575.2064375,218
0.000450561405159533,5.548633098602295,1559,0.05,84480,54,24.0,0.02,608.6501249999999,219
0.0005757436156272888,4.342210292816162,1567,0.05,84864,54,24.0,0.02,610.136125,220
0.0007612566696479917,3.284043312072754,1574,0.05,85248,54,24.0,0.02,609.6860624999999,221
0.000498397508636117,5.016076564788818,1581,0.05,85632,54,24.0,0.02,610.6914374999999,222
0.00019959140627179295,12.525589942932129,1588,0.05,86016,54,24.0,0.02,607.1996875,223
0.0003983640926890075,6.275665760040283,1596,0.05,86400,54,24.0,0.02,608.244375,224
0.0004513636522460729,5.538771152496338,1603,0.05,86784,54,24.0,0.02,610.78875,225
5.95854953644448e-06,419.5652160644531,1610,0.05,87168,54,24.0,0.02,508.16774999999996,226
0.000621060433331877,4.0253729820251465,1617,0.05,87552,54,24.0,0.02,610.9425000000001,227
0.0005109874764457345,4.892487525939941,1624,0.05,87936,54,24.0,0.02,609.945125,228
0.0009417263208888471,2.6546988487243652,1631,0.05,88320,54,24.0,0.02,611.7053125,229
0.0002013005578191951,12.419239044189453,1639,0.05,88704,54,24.0,0.02,608.2265625,230
2.5207264116033912e-05,99.1777572631836,1646,0.05,89088,54,24.0,0.02,585.626,231
0.0008394016185775399,2.978311777114868,1653,0.05,89472,54,24.0,0.02,611.4670625,232
0.00047910294961184263,5.218085289001465,1660,0.05,89856,54,24.0,0.02,609.5756250000001,233
0.00025606347480788827,9.763204574584961,1667,0.05,90240,54,24.0,0.02,607.0728125,234
0.0005465733702294528,4.573951244354248,1674,0.05,90624,54,24.0,0.02,609.9214999999999,235
0.0005384752294048667,4.6427388191223145,1681,0.05,91008,54,24.0,0.02,609.9971875000001,236
0.000666830746922642,3.7490768432617188,1688,0.05,91392,54,24.0,0.02,610.7291250000001,237
0.0007369290105998516,3.392456531524658,1695,0.05,91776,54,24.0,0.02,612.185,238
1.0580935850157402e-05,236.27398681640625,1702,0.05,92160,54,24.0,0.02,552.589875,239
0.0008116581593640149,3.0801141262054443,1710,0.05,92544,54,24.0,0.02,612.825,240
0.0010561523959040642,2.367082357406616,1717,0.05,92928,54,24.0,0.02,613.164375,241
0.001129153766669333,2.2140471935272217,1724,0.05,93312,54,24.0,0.02,613.4340625,242
0.0009947007056325674,2.5133185386657715,1731,0.05,93696,54,24.0,0.02,612.03125,243
0.000980801647529006,2.5489351749420166,1738,0.05,94080,54,24.0,0.02,612.8043749999999,244
5.756002337875543e-06,434.3292236328125,1745,0.05,94464,54,24.0,0.02,502.9559375,245
0.0003537558950483799,7.067019462585449,1753,0.05,94848,54,24.0,0.02,612.0925,246
0.0011412192834541202,2.1906392574310303,1760,0.05,95232,54,24.0,0.02,613.4999999999999,247
1.9390279703657143e-05,128.93057250976562,1767,0.05,95616,54,24.0,0.02,580.7560625,248
0.0007653153734281659,3.2666268348693848,1774,0.05,96000,54,24.0,0.02,612.5133125,249
0.0002252204722026363,11.100234031677246,1781,0.05,96384,54,24.0,0.02,608.6001249999999,250
0.0003924196935258806,6.370729923248291,1788,0.05,96768,54,24.0,0.02,611.8125,251
0.0007218861137516797,3.4631495475769043,1796,0.05,97152,54,24.0,0.02,614.576875,252
1.1060123142669909e-05,226.03726196289062,1803,0.05,97536,54,24.0,0.02,558.573625,253
1.3170192687539384e-05,189.82257080078125,1810,0.05,97920,54,24.0,0.02,566.0687499999999,254
0.0008700275211594999,2.873471975326538,1817,0.05,98304,54,24.0,0.02,613.8336875,255
8.952197276812512e-06,279.26104736328125,1824,0.05,98688,54,24.0,0.02,509.53574999999995,256
1.8654556697583757e-05,134.01551818847656,1832,0.05,99072,54,24.0,0.02,581.1691875,257
0.0005791212315671146,4.316885471343994,1839,0.05,99456,54,24.0,0.02,612.4918749999999,258
6.4147238845180254e-06,389.7283630371094,1846,0.05,99840,54,24.0,0.02,514.12275,259
1.523383707535686e-05,164.1083526611328,1853,0.05,100224,54,24.0,0.02,573.7525,260
1.052284369507106e-05,237.578369140625,1860,0.05,100608,54,24.0,0.02,529.7900625,261
0.0011652696412056684,2.145426034927368,1867,0.05,100992,54,24.0,0.02,613.310125,262
