time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/is_line_search_success,train/learning_rate,train/explained_variance,train/policy_objective,train/value_loss,train/n_updates,train/kl_divergence_loss,train/std
8319,24.0,205,50,606.88349,419840,1.0,0.001,0.975399212911725,0.008626947179436684,583.4362356185914,204,0.00533330999314785,1.1818554401397705
8361,24.0,206,50,607.72005,421888,1.0,0.001,0.9744860846549273,0.055164650082588196,582.8132415771485,205,0.008689220994710922,1.179580569267273
8399,24.0,207,50,607.6402800000001,423936,1.0,0.001,0.9744978174567223,0.05598539859056473,560.0257102966309,206,0.007968493737280369,1.1799546480178833
8440,24.0,208,50,607.3698899999999,425984,1.0,0.001,0.975342208519578,0.0661236047744751,564.9424627304077,207,0.008143744431436062,1.1785238981246948
8481,24.0,209,50,606.27436,428032,1.0,0.001,0.9752319268882275,0.06251583248376846,565.4599761962891,208,0.007761686574667692,1.1773282289505005
8524,24.0,210,50,607.4583100000001,430080,1.0,0.001,0.9747127220034599,0.06279786676168442,582.8239904403687,209,0.0072084409184753895,1.1805373430252075
8567,24.0,211,50,606.3186000000001,432128,1.0,0.001,0.9742474462836981,0.042100559920072556,567.0586639404297,210,0.00667577376589179,1.181534767150879
8607,24.0,212,50,606.46498,434176,1.0,0.001,0.975609228014946,0.07253088057041168,573.9703596115112,211,0.008029371500015259,1.1828972101211548
8648,24.0,213,50,606.47638,436224,1.0,0.001,0.9738328959792852,0.0657522976398468,581.951901626587,212,0.007668323814868927,1.1826242208480835
8689,24.0,214,50,605.71994,438272,1.0,0.001,0.974489439278841,0.059785351157188416,577.4043491363525,213,0.009578531607985497,1.1899844408035278
8731,24.0,215,50,606.3085899999999,440320,1.0,0.001,0.9748190492391586,0.06917664408683777,588.0345821380615,214,0.0084960563108325,1.190073847770691
8773,24.0,216,50,607.33514,442368,1.0,0.001,0.9744451642036438,0.05937813222408295,574.0754005432129,215,0.00761334877461195,1.190571665763855
8812,24.0,217,50,607.9272,444416,1.0,0.001,0.9759050253778696,0.06814846396446228,575.4352895736695,216,0.008297149091959,1.1838940382003784
8853,24.0,218,50,607.8251399999999,446464,1.0,0.001,0.9746578056365252,0.07317231595516205,566.04377784729,217,0.007213677279651165,1.1831961870193481
8896,24.0,219,50,607.90337,448512,1.0,0.001,0.9750544987618923,0.06951688230037689,564.984127998352,218,0.009449665434658527,1.1756802797317505
8936,24.0,220,50,606.1729799999999,450560,1.0,0.001,0.9755314961075783,0.04867061227560043,558.7288349151611,219,0.009462610818445683,1.1722767353057861
8975,24.0,221,50,607.3682,452608,1.0,0.001,0.9745252691209316,0.06630736589431763,584.409974861145,220,0.008209003135561943,1.1807811260223389
9018,24.0,222,50,607.99204,454656,1.0,0.001,0.9753734637051821,0.06785724312067032,567.643501663208,221,0.007885411381721497,1.1924687623977661
9059,24.0,223,50,606.3437900000001,456704,1.0,0.001,0.9745897501707077,0.05847075209021568,549.1965641021728,222,0.006664601154625416,1.202568531036377
